,rouge-1,rouge-2,rouge-l
347,"{'r': 0.5, 'p': 0.4, 'f': 0.4444444395061729}","{'r': 0.24561403508771928, 'p': 0.1794871794871795, 'f': 0.20740740252839518}","{'r': 0.5, 'p': 0.4, 'f': 0.4444444395061729}"
348,"{'r': 0.4745762711864407, 'p': 0.5, 'f': 0.4869565167425331}","{'r': 0.3333333333333333, 'p': 0.3709677419354839, 'f': 0.3511450331822155}","{'r': 0.4745762711864407, 'p': 0.5, 'f': 0.4869565167425331}"
349,"{'r': 0.5740740740740741, 'p': 0.6458333333333334, 'f': 0.6078431322722031}","{'r': 0.45901639344262296, 'p': 0.5185185185185185, 'f': 0.486956516757656}","{'r': 0.5740740740740741, 'p': 0.6458333333333334, 'f': 0.6078431322722031}"
350,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
351,"{'r': 1.0, 'p': 0.9838709677419355, 'f': 0.9918699136995175}","{'r': 0.9857142857142858, 'p': 0.971830985915493, 'f': 0.9787233992555708}","{'r': 1.0, 'p': 0.9838709677419355, 'f': 0.9918699136995175}"
352,"{'r': 0.5535714285714286, 'p': 0.6326530612244898, 'f': 0.5904761854984129}","{'r': 0.47619047619047616, 'p': 0.5357142857142857, 'f': 0.5042016756895701}","{'r': 0.5535714285714286, 'p': 0.6326530612244898, 'f': 0.5904761854984129}"
353,"{'r': 0.7592592592592593, 'p': 0.7321428571428571, 'f': 0.7454545404561984}","{'r': 0.6333333333333333, 'p': 0.6229508196721312, 'f': 0.6280991685540606}","{'r': 0.7407407407407407, 'p': 0.7142857142857143, 'f': 0.7272727222743802}"
354,"{'r': 0.6153846153846154, 'p': 0.7843137254901961, 'f': 0.6896551674866231}","{'r': 0.5616438356164384, 'p': 0.6949152542372882, 'f': 0.6212121162683656}","{'r': 0.6153846153846154, 'p': 0.7843137254901961, 'f': 0.6896551674866231}"
355,"{'r': 0.9183673469387755, 'p': 0.8181818181818182, 'f': 0.8653846104012576}","{'r': 0.8148148148148148, 'p': 0.676923076923077, 'f': 0.7394957933620508}","{'r': 0.8775510204081632, 'p': 0.7818181818181819, 'f': 0.8269230719397189}"
356,"{'r': 0.7586206896551724, 'p': 0.7096774193548387, 'f': 0.7333333283388889}","{'r': 0.5352112676056338, 'p': 0.5588235294117647, 'f': 0.5467625849303867}","{'r': 0.7413793103448276, 'p': 0.6935483870967742, 'f': 0.7166666616722224}"
357,"{'r': 0.6607142857142857, 'p': 0.6271186440677966, 'f': 0.6434782558729679}","{'r': 0.49206349206349204, 'p': 0.4626865671641791, 'f': 0.47692307192781064}","{'r': 0.6607142857142857, 'p': 0.6271186440677966, 'f': 0.6434782558729679}"
358,"{'r': 0.30434782608695654, 'p': 0.2857142857142857, 'f': 0.29473683711024934}","{'r': 0.03773584905660377, 'p': 0.03508771929824561, 'f': 0.036363631370248624}","{'r': 0.30434782608695654, 'p': 0.2857142857142857, 'f': 0.29473683711024934}"
359,"{'r': 0.4166666666666667, 'p': 0.46511627906976744, 'f': 0.4395604345755344}","{'r': 0.24074074074074073, 'p': 0.2549019607843137, 'f': 0.24761904262312934}","{'r': 0.3958333333333333, 'p': 0.4418604651162791, 'f': 0.4175824125975124}"
360,"{'r': 0.5636363636363636, 'p': 0.6078431372549019, 'f': 0.5849056553844785}","{'r': 0.359375, 'p': 0.3898305084745763, 'f': 0.37398373484566066}","{'r': 0.5454545454545454, 'p': 0.5882352941176471, 'f': 0.5660377308561766}"
361,"{'r': 0.9122807017543859, 'p': 0.8666666666666667, 'f': 0.8888888838921762}","{'r': 0.8285714285714286, 'p': 0.8169014084507042, 'f': 0.8226950304612446}","{'r': 0.9122807017543859, 'p': 0.8666666666666667, 'f': 0.8888888838921762}"
362,"{'r': 0.78, 'p': 0.8297872340425532, 'f': 0.8041237063449889}","{'r': 0.6727272727272727, 'p': 0.6981132075471698, 'f': 0.6851851801868999}","{'r': 0.78, 'p': 0.8297872340425532, 'f': 0.8041237063449889}"
363,"{'r': 0.6666666666666666, 'p': 0.625, 'f': 0.6451612853277836}","{'r': 0.5507246376811594, 'p': 0.5, 'f': 0.5241379260461356}","{'r': 0.6666666666666666, 'p': 0.625, 'f': 0.6451612853277836}"
364,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
365,"{'r': 0.9642857142857143, 'p': 0.8571428571428571, 'f': 0.9075630202273851}","{'r': 0.9230769230769231, 'p': 0.7894736842105263, 'f': 0.8510638248176653}","{'r': 0.9642857142857143, 'p': 0.8571428571428571, 'f': 0.9075630202273851}"
366,"{'r': 0.8035714285714286, 'p': 0.8035714285714286, 'f': 0.8035714235714286}","{'r': 0.7142857142857143, 'p': 0.6923076923076923, 'f': 0.7031249950012208}","{'r': 0.8035714285714286, 'p': 0.8035714285714286, 'f': 0.8035714235714286}"
367,"{'r': 0.6078431372549019, 'p': 0.5081967213114754, 'f': 0.5535714236112883}","{'r': 0.5172413793103449, 'p': 0.39473684210526316, 'f': 0.44776118912007135}","{'r': 0.6078431372549019, 'p': 0.5081967213114754, 'f': 0.5535714236112883}"
368,"{'r': 0.3111111111111111, 'p': 0.25, 'f': 0.27722771783158523}","{'r': 0.1346153846153846, 'p': 0.1044776119402985, 'f': 0.11764705390297316}","{'r': 0.2222222222222222, 'p': 0.17857142857142858, 'f': 0.19801979703950603}"
369,"{'r': 0.2222222222222222, 'p': 0.26666666666666666, 'f': 0.24242423746556482}","{'r': 0.06896551724137931, 'p': 0.07272727272727272, 'f': 0.07079645518051567}","{'r': 0.18518518518518517, 'p': 0.2222222222222222, 'f': 0.20202019706152444}"
370,"{'r': 0.7758620689655172, 'p': 0.6818181818181818, 'f': 0.725806446633715}","{'r': 0.5151515151515151, 'p': 0.4657534246575342, 'f': 0.4892086281062057}","{'r': 0.7586206896551724, 'p': 0.6666666666666666, 'f': 0.7096774143756504}"
371,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
372,"{'r': 0.2857142857142857, 'p': 0.3076923076923077, 'f': 0.2962962913031551}","{'r': 0.04918032786885246, 'p': 0.05172413793103448, 'f': 0.05042016307040513}","{'r': 0.23214285714285715, 'p': 0.25, 'f': 0.24074073574759955}"
373,"{'r': 0.6956521739130435, 'p': 0.6530612244897959, 'f': 0.673684205531302}","{'r': 0.5932203389830508, 'p': 0.4794520547945205, 'f': 0.5303030253592746}","{'r': 0.6739130434782609, 'p': 0.6326530612244898, 'f': 0.6526315739523547}"
374,"{'r': 0.6721311475409836, 'p': 0.7068965517241379, 'f': 0.6890756252552785}","{'r': 0.5428571428571428, 'p': 0.5757575757575758, 'f': 0.55882352441609}","{'r': 0.6721311475409836, 'p': 0.7068965517241379, 'f': 0.6890756252552785}"
375,"{'r': 0.47368421052631576, 'p': 0.6136363636363636, 'f': 0.5346534604293697}","{'r': 0.4, 'p': 0.5, 'f': 0.4444444395061729}","{'r': 0.47368421052631576, 'p': 0.6136363636363636, 'f': 0.5346534604293697}"
376,"{'r': 0.4074074074074074, 'p': 0.39285714285714285, 'f': 0.3999999950016529}","{'r': 0.203125, 'p': 0.20967741935483872, 'f': 0.20634920135046625}","{'r': 0.4074074074074074, 'p': 0.39285714285714285, 'f': 0.3999999950016529}"
377,"{'r': 0.5471698113207547, 'p': 0.5370370370370371, 'f': 0.542056069766792}","{'r': 0.38095238095238093, 'p': 0.39344262295081966, 'f': 0.38709676919484914}","{'r': 0.5283018867924528, 'p': 0.5185185185185185, 'f': 0.5233644809817452}"
378,"{'r': 0.7, 'p': 0.603448275862069, 'f': 0.648148143175583}","{'r': 0.5, 'p': 0.4411764705882353, 'f': 0.4687499950195313}","{'r': 0.7, 'p': 0.603448275862069, 'f': 0.648148143175583}"
379,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.967741935483871, 'p': 0.967741935483871, 'f': 0.9677419304838711}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
380,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
381,"{'r': 0.42857142857142855, 'p': 0.38095238095238093, 'f': 0.40336133955511616}","{'r': 0.2711864406779661, 'p': 0.23529411764705882, 'f': 0.251968498962118}","{'r': 0.39285714285714285, 'p': 0.3492063492063492, 'f': 0.36974789417696485}"
382,"{'r': 0.7090909090909091, 'p': 0.78, 'f': 0.7428571378684807}","{'r': 0.5909090909090909, 'p': 0.65, 'f': 0.619047614058957}","{'r': 0.7090909090909091, 'p': 0.78, 'f': 0.7428571378684807}"
383,"{'r': 0.5576923076923077, 'p': 0.5370370370370371, 'f': 0.5471698063225349}","{'r': 0.3064516129032258, 'p': 0.2835820895522388, 'f': 0.2945736384183643}","{'r': 0.5, 'p': 0.48148148148148145, 'f': 0.4905660327376291}"
384,"{'r': 0.5909090909090909, 'p': 0.5652173913043478, 'f': 0.577777772780247}","{'r': 0.423728813559322, 'p': 0.49019607843137253, 'f': 0.4545454495719008}","{'r': 0.5909090909090909, 'p': 0.5652173913043478, 'f': 0.577777772780247}"
385,"{'r': 0.9130434782608695, 'p': 1.0, 'f': 0.9545454495557851}","{'r': 0.8615384615384616, 'p': 1.0, 'f': 0.925619829738406}","{'r': 0.9130434782608695, 'p': 1.0, 'f': 0.9545454495557851}"
386,"{'r': 0.8431372549019608, 'p': 0.8113207547169812, 'f': 0.8269230719249261}","{'r': 0.8214285714285714, 'p': 0.7666666666666667, 'f': 0.7931034432818074}","{'r': 0.8431372549019608, 'p': 0.8113207547169812, 'f': 0.8269230719249261}"
387,"{'r': 0.8846153846153846, 'p': 0.7666666666666667, 'f': 0.8214285664540818}","{'r': 0.7580645161290323, 'p': 0.6619718309859155, 'f': 0.7067669123161286}","{'r': 0.8461538461538461, 'p': 0.7333333333333333, 'f': 0.7857142807397959}"
388,"{'r': 0.9649122807017544, 'p': 0.9649122807017544, 'f': 0.9649122757017544}","{'r': 0.953125, 'p': 0.953125, 'f': 0.953124995}","{'r': 0.9649122807017544, 'p': 0.9649122807017544, 'f': 0.9649122757017544}"
389,"{'r': 0.8035714285714286, 'p': 0.7258064516129032, 'f': 0.7627118594197071}","{'r': 0.676923076923077, 'p': 0.6027397260273972, 'f': 0.6376811544370932}","{'r': 0.8035714285714286, 'p': 0.7258064516129032, 'f': 0.7627118594197071}"
390,"{'r': 0.7321428571428571, 'p': 0.7321428571428571, 'f': 0.7321428521428571}","{'r': 0.6229508196721312, 'p': 0.6333333333333333, 'f': 0.6280991685540606}","{'r': 0.7321428571428571, 'p': 0.7321428571428571, 'f': 0.7321428521428571}"
391,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
392,"{'r': 0.559322033898305, 'p': 0.6, 'f': 0.5789473634272084}","{'r': 0.421875, 'p': 0.4090909090909091, 'f': 0.4153846103857989}","{'r': 0.5423728813559322, 'p': 0.5818181818181818, 'f': 0.5614035037780856}"
393,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
394,"{'r': 0.8301886792452831, 'p': 1.0, 'f': 0.9072164898884048}","{'r': 0.7704918032786885, 'p': 0.9791666666666666, 'f': 0.8623853161720393}","{'r': 0.8301886792452831, 'p': 1.0, 'f': 0.9072164898884048}"
395,"{'r': 0.45, 'p': 0.6136363636363636, 'f': 0.5192307643491124}","{'r': 0.4057971014492754, 'p': 0.56, 'f': 0.47058823042158043}","{'r': 0.45, 'p': 0.6136363636363636, 'f': 0.5192307643491124}"
396,"{'r': 0.6428571428571429, 'p': 0.6428571428571429, 'f': 0.6428571378571429}","{'r': 0.532258064516129, 'p': 0.4852941176470588, 'f': 0.5076923027029586}","{'r': 0.625, 'p': 0.625, 'f': 0.624999995}"
397,"{'r': 0.8363636363636363, 'p': 0.8070175438596491, 'f': 0.8214285664301658}","{'r': 0.7536231884057971, 'p': 0.7647058823529411, 'f': 0.7591240825915073}","{'r': 0.8363636363636363, 'p': 0.8070175438596491, 'f': 0.8214285664301658}"
398,"{'r': 0.5660377358490566, 'p': 0.5172413793103449, 'f': 0.5405405355506859}","{'r': 0.4262295081967213, 'p': 0.38235294117647056, 'f': 0.4031007702085211}","{'r': 0.5660377358490566, 'p': 0.5172413793103449, 'f': 0.5405405355506859}"
399,"{'r': 0.6271186440677966, 'p': 0.6379310344827587, 'f': 0.6324786274789979}","{'r': 0.45161290322580644, 'p': 0.4666666666666667, 'f': 0.45901638844396675}","{'r': 0.6271186440677966, 'p': 0.6379310344827587, 'f': 0.6324786274789979}"
400,"{'r': 0.7368421052631579, 'p': 0.65625, 'f': 0.6942148710497916}","{'r': 0.6307692307692307, 'p': 0.5540540540540541, 'f': 0.5899280525749186}","{'r': 0.7368421052631579, 'p': 0.65625, 'f': 0.6942148710497916}"
401,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.96, 'p': 0.96, 'f': 0.9599999950000001}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
402,"{'r': 0.5660377358490566, 'p': 0.4918032786885246, 'f': 0.5263157844983072}","{'r': 0.36363636363636365, 'p': 0.3380281690140845, 'f': 0.3503649585103096}","{'r': 0.5660377358490566, 'p': 0.4918032786885246, 'f': 0.5263157844983072}"
403,"{'r': 1.0, 'p': 0.8507462686567164, 'f': 0.9193548337421957}","{'r': 0.9850746268656716, 'p': 0.825, 'f': 0.8979591787125735}","{'r': 1.0, 'p': 0.8507462686567164, 'f': 0.9193548337421957}"
404,"{'r': 0.9482758620689655, 'p': 0.9482758620689655, 'f': 0.9482758570689656}","{'r': 0.9508196721311475, 'p': 0.9508196721311475, 'f': 0.9508196671311475}","{'r': 0.9482758620689655, 'p': 0.9482758620689655, 'f': 0.9482758570689656}"
405,"{'r': 0.9285714285714286, 'p': 1.0, 'f': 0.9629629579698218}","{'r': 0.9076923076923077, 'p': 0.9833333333333333, 'f': 0.943999995008}","{'r': 0.9285714285714286, 'p': 1.0, 'f': 0.9629629579698218}"
406,"{'r': 1.0, 'p': 0.7419354838709677, 'f': 0.8518518469615913}","{'r': 0.9821428571428571, 'p': 0.7142857142857143, 'f': 0.8270676642975862}","{'r': 1.0, 'p': 0.7419354838709677, 'f': 0.8518518469615913}"
407,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
408,"{'r': 0.6851851851851852, 'p': 0.6607142857142857, 'f': 0.6727272677289257}","{'r': 0.5573770491803278, 'p': 0.53125, 'f': 0.5439999950028801}","{'r': 0.6666666666666666, 'p': 0.6428571428571429, 'f': 0.6545454495471076}"
409,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
410,"{'r': 1.0, 'p': 0.96, 'f': 0.9795918317367763}","{'r': 0.9642857142857143, 'p': 0.9, 'f': 0.931034477764566}","{'r': 1.0, 'p': 0.96, 'f': 0.9795918317367763}"
411,"{'r': 0.6379310344827587, 'p': 0.7551020408163265, 'f': 0.6915887800821033}","{'r': 0.55, 'p': 0.6346153846153846, 'f': 0.5892857093112246}","{'r': 0.6379310344827587, 'p': 0.7551020408163265, 'f': 0.6915887800821033}"
412,"{'r': 0.6551724137931034, 'p': 0.7169811320754716, 'f': 0.6846846796948299}","{'r': 0.5303030303030303, 'p': 0.5833333333333334, 'f': 0.5555555505668934}","{'r': 0.6551724137931034, 'p': 0.7169811320754716, 'f': 0.6846846796948299}"
413,"{'r': 0.4827586206896552, 'p': 0.49122807017543857, 'f': 0.4869565167395085}","{'r': 0.3333333333333333, 'p': 0.3387096774193548, 'f': 0.33599999500032}","{'r': 0.4827586206896552, 'p': 0.49122807017543857, 'f': 0.4869565167395085}"
414,"{'r': 0.8148148148148148, 'p': 0.8461538461538461, 'f': 0.830188674247063}","{'r': 0.6774193548387096, 'p': 0.6885245901639344, 'f': 0.6829268242686233}","{'r': 0.8148148148148148, 'p': 0.8461538461538461, 'f': 0.830188674247063}"
415,"{'r': 0.8653846153846154, 'p': 0.9782608695652174, 'f': 0.9183673419575178}","{'r': 0.8225806451612904, 'p': 0.9807692307692307, 'f': 0.8947368371437365}","{'r': 0.8653846153846154, 'p': 0.9782608695652174, 'f': 0.9183673419575178}"
416,"{'r': 0.5555555555555556, 'p': 0.6, 'f': 0.5769230719304734}","{'r': 0.4067796610169492, 'p': 0.4444444444444444, 'f': 0.42477875607173626}","{'r': 0.5370370370370371, 'p': 0.58, 'f': 0.5576923026997042}"
417,"{'r': 0.711864406779661, 'p': 0.8235294117647058, 'f': 0.7636363586628099}","{'r': 0.4782608695652174, 'p': 0.515625, 'f': 0.49624059651082597}","{'r': 0.6949152542372882, 'p': 0.803921568627451, 'f': 0.7454545404809918}"
418,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
419,"{'r': 0.6458333333333334, 'p': 0.6078431372549019, 'f': 0.6262626212672177}","{'r': 0.3793103448275862, 'p': 0.3492063492063492, 'f': 0.36363635864490135}","{'r': 0.625, 'p': 0.5882352941176471, 'f': 0.6060606010651974}"
420,"{'r': 0.5957446808510638, 'p': 0.56, 'f': 0.5773195826336487}","{'r': 0.45, 'p': 0.42857142857142855, 'f': 0.43902438524687687}","{'r': 0.5957446808510638, 'p': 0.56, 'f': 0.5773195826336487}"
421,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.984375, 'p': 1.0, 'f': 0.9921259792522785}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
422,"{'r': 0.9333333333333333, 'p': 0.8615384615384616, 'f': 0.8959999950080001}","{'r': 0.8484848484848485, 'p': 0.7777777777777778, 'f': 0.8115941979080026}","{'r': 0.9333333333333333, 'p': 0.8615384615384616, 'f': 0.8959999950080001}"
423,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
424,"{'r': 0.24444444444444444, 'p': 0.22916666666666666, 'f': 0.23655913479014926}","{'r': 0.07407407407407407, 'p': 0.06451612903225806, 'f': 0.06896551226516089}","{'r': 0.2222222222222222, 'p': 0.20833333333333334, 'f': 0.21505375844606323}"
425,"{'r': 0.40816326530612246, 'p': 0.4166666666666667, 'f': 0.41237112902115003}","{'r': 0.2857142857142857, 'p': 0.27586206896551724, 'f': 0.2807017493875039}","{'r': 0.40816326530612246, 'p': 0.4166666666666667, 'f': 0.41237112902115003}"
426,"{'r': 0.23333333333333334, 'p': 0.2545454545454545, 'f': 0.2434782558790171}","{'r': 0.046875, 'p': 0.047619047619047616, 'f': 0.04724408948849951}","{'r': 0.2, 'p': 0.21818181818181817, 'f': 0.20869564718336497}"
427,"{'r': 0.9649122807017544, 'p': 0.9482758620689655, 'f': 0.9565217341308129}","{'r': 0.8939393939393939, 'p': 0.8939393939393939, 'f': 0.893939388939394}","{'r': 0.9649122807017544, 'p': 0.9482758620689655, 'f': 0.9565217341308129}"
428,"{'r': 0.9245283018867925, 'p': 0.9423076923076923, 'f': 0.9333333283337869}","{'r': 0.8461538461538461, 'p': 0.873015873015873, 'f': 0.8593749950012207}","{'r': 0.9245283018867925, 'p': 0.9423076923076923, 'f': 0.9333333283337869}"
429,"{'r': 1.0, 'p': 0.8571428571428571, 'f': 0.9230769181065088}","{'r': 0.95, 'p': 0.7916666666666666, 'f': 0.8636363586776858}","{'r': 1.0, 'p': 0.8571428571428571, 'f': 0.9230769181065088}"
430,"{'r': 0.6078431372549019, 'p': 0.7045454545454546, 'f': 0.6526315739745152}","{'r': 0.4067796610169492, 'p': 0.5, 'f': 0.4485981258939646}","{'r': 0.5686274509803921, 'p': 0.6590909090909091, 'f': 0.6105263108166206}"
431,"{'r': 0.82, 'p': 0.7321428571428571, 'f': 0.7735849006763973}","{'r': 0.7796610169491526, 'p': 0.7301587301587301, 'f': 0.7540983556611126}","{'r': 0.82, 'p': 0.7321428571428571, 'f': 0.7735849006763973}"
432,"{'r': 1.0, 'p': 0.9807692307692307, 'f': 0.9902912571363937}","{'r': 0.9838709677419355, 'p': 0.9384615384615385, 'f': 0.9606299162626326}","{'r': 1.0, 'p': 0.9807692307692307, 'f': 0.9902912571363937}"
433,"{'r': 0.58, 'p': 0.5576923076923077, 'f': 0.5686274459823146}","{'r': 0.47540983606557374, 'p': 0.4603174603174603, 'f': 0.46774193048517165}","{'r': 0.58, 'p': 0.5576923076923077, 'f': 0.5686274459823146}"
434,"{'r': 0.8679245283018868, 'p': 0.7796610169491526, 'f': 0.8214285664429211}","{'r': 0.75, 'p': 0.6666666666666666, 'f': 0.7058823479584776}","{'r': 0.8679245283018868, 'p': 0.7796610169491526, 'f': 0.8214285664429211}"
435,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
436,"{'r': 0.18, 'p': 0.17647058823529413, 'f': 0.17821781678266854}","{'r': 0.029411764705882353, 'p': 0.03389830508474576, 'f': 0.03149605801723682}","{'r': 0.18, 'p': 0.17647058823529413, 'f': 0.17821781678266854}"
437,"{'r': 1.0, 'p': 0.8970588235294118, 'f': 0.94573642912325}","{'r': 0.9577464788732394, 'p': 0.85, 'f': 0.9006622466733916}","{'r': 1.0, 'p': 0.8970588235294118, 'f': 0.94573642912325}"
438,"{'r': 0.711864406779661, 'p': 0.6363636363636364, 'f': 0.6719999950156801}","{'r': 0.5396825396825397, 'p': 0.4594594594594595, 'f': 0.4963503599957377}","{'r': 0.711864406779661, 'p': 0.6363636363636364, 'f': 0.6719999950156801}"
439,"{'r': 0.16666666666666666, 'p': 0.18, 'f': 0.17307691808431966}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.16666666666666666, 'p': 0.18, 'f': 0.17307691808431966}"
440,"{'r': 0.72, 'p': 0.7346938775510204, 'f': 0.7272727222732375}","{'r': 0.7142857142857143, 'p': 0.7142857142857143, 'f': 0.7142857092857143}","{'r': 0.72, 'p': 0.7346938775510204, 'f': 0.7272727222732375}"
441,"{'r': 0.9333333333333333, 'p': 0.835820895522388, 'f': 0.8818897587947176}","{'r': 0.8823529411764706, 'p': 0.759493670886076, 'f': 0.8163265256402426}","{'r': 0.9166666666666666, 'p': 0.8208955223880597, 'f': 0.8661417272986547}"
442,"{'r': 0.9047619047619048, 'p': 0.7450980392156863, 'f': 0.8172042961220952}","{'r': 0.8125, 'p': 0.6842105263157895, 'f': 0.7428571378938778}","{'r': 0.9047619047619048, 'p': 0.7450980392156863, 'f': 0.8172042961220952}"
443,"{'r': 0.32075471698113206, 'p': 0.37777777777777777, 'f': 0.34693877054352357}","{'r': 0.1206896551724138, 'p': 0.13725490196078433, 'f': 0.12844036199309844}","{'r': 0.3018867924528302, 'p': 0.35555555555555557, 'f': 0.3265306072782174}"
444,"{'r': 0.6785714285714286, 'p': 0.7169811320754716, 'f': 0.6972477014258059}","{'r': 0.5714285714285714, 'p': 0.6060606060606061, 'f': 0.5882352891219723}","{'r': 0.6785714285714286, 'p': 0.7169811320754716, 'f': 0.6972477014258059}"
445,"{'r': 0.2962962962962963, 'p': 0.2962962962962963, 'f': 0.29629629129629637}","{'r': 0.140625, 'p': 0.12857142857142856, 'f': 0.1343283532189799}","{'r': 0.2962962962962963, 'p': 0.2962962962962963, 'f': 0.29629629129629637}"
